,year,date,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,work_2534,nowork_2534,work_HS_2534,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_HS_2534,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
1,1960,1960-01-01,0.9140582588472889,0.924980024755993,0.885371886864927,0.7117777777777781,0.7117777777777781,1,0.9204229219700176,0.8727226010865989,0.9007886855692223,0.888837432598692,0.874614473940474,0.9249181604726822,0.9228804745355021,0.9418319903925502,0.9332485578304124,0.888720872886157,0.9469549262368188,0.870808108022441,0.9406480309721208,0.9469916738766628,0.9287696229100213,0.75160823838738,0.75160823838738,1,0.941704249922248,0.9308700514644447,0.9426781466715803,0.9127980849649375,0.9146705939250903,0.9453044125678569,0.9492942947911841,0.9648869217025938,0.9598214315091524,0.9142033897976919,0.9566933704864738,0.9346853559061938,0.9290835016158666,0.9394926373556601,0.9004969287794187,0.71537606456074,0.71537606456074,1,0.9275643445558817,0.9407923869190147,0.9438041633163584,0.88894153277314,0.9035845775770697,0.9304514274972406,0.9419103475765203,0.9604210709217804,0.9523816725776812,0.9136150419729026,0.9391832509100887,0.9245705021070143,0.745611244712097,0.9494640598641612,0.774884417119556,0.65843590362415,0.522415622175946,0.522415622175946,1,0.9554625986476238,0.9378118845816462,0.775359833243183,0.775359833243183,1,0.738015479432247,0.802145781677611,0.719372403974579,0.9576058251138851,0.891798146551266,0.9337824888089283,0.69620561514274,0.77039185197276,0.745218724470954,0.9191906396066816,0.9751482441647386,0.9220245010220168,0.584481214037915,0.9964903288010016,0.608226042059899,0.537511992938558,0.426404749225884,0.426404749225884,1,0.9959819115063969,0.9988141619723334,0.9980315350070231,0.9980315350070231,1,0.547722777691698,0.625443828233365,0.572692805997428,0.9869244075101647,0.99955011604961,0.9997435614312264
2,1970,1970-01-01,0.900021641189085,0.9169209772075884,0.874840563798699,0.729990036532713,0.729990036532713,1,0.910616258532627,0.833132052034091,0.887307723945052,0.876322098434635,0.862349062165644,0.9090672344858224,0.911321701169995,0.9216621253405995,0.9030993331997825,0.84800814324712,0.9335392413083076,0.886382384669078,0.9433816932166376,0.9484516045436876,0.9426793541207731,0.814145439020919,0.814145439020919,1,0.9480441120547598,0.9124995188050968,0.9309898426608245,0.9237053136476054,0.9203046587023138,0.9482131640715395,0.9507283948798774,0.9604039330321552,0.9519321394910462,0.9024865591397849,0.9600641417226634,0.9513242784380306,0.944977324215735,0.9504866198655104,0.9392618893910049,0.808430324001258,0.808430324001258,1,0.9465135238826012,0.9321034528967704,0.9421512057996745,0.9186528861702876,0.9228864520693315,0.9483936499615,0.9526850204124359,0.9636184857423796,0.9607533805537669,0.9135028062066689,0.9564280564079347,0.954018954018954,0.788731435959376,0.9335080517193722,0.824756000096873,0.719422554797696,0.604349644500209,0.604349644500209,1,0.9437427757886724,0.9249508924758733,0.775218307738633,0.775218307738633,1,0.790776440515497,0.791812049313794,0.752780153977759,0.9452274754683319,0.850561742628661,0.919340054995417,0.684370882740448,0.815068493150685,0.816958016560941,0.885719707752159,0.9642408408288626,0.9202076206205025,0.5860186196301991,0.9847988166863219,0.6028404929465341,0.57679026323238,0.512396694214876,0.512396694214876,1,0.9819070711330153,0.9937658113480303,0.9950884086444007,0.9950884086444007,1,0.513097471056206,0.613673278535217,0.61700728727193,0.9528737494430718,0.9948750861230923,0.996159428380038
3,1980,1980-01-01,0.838026668257868,0.877505815256298,0.810704148304032,0.704751995363907,0.704751995363907,1,0.858536399644835,0.7032776496681861,0.84302095689996,0.797454495689065,0.785873313241563,0.8508216651295379,0.862819299905393,0.870228074108799,0.820147564761031,0.726430299860085,0.873055471522857,0.879909556029527,0.9391493168385721,0.9469369964709025,0.9406375502008032,0.857315158273218,0.857315158273218,1,0.9500683470729457,0.871249494541043,0.9244421533249871,0.927451259427921,0.9084244736986251,0.9458477613753721,0.9470191396106127,0.9620673453406421,0.9415217068881497,0.883524951076321,0.9519140818460297,0.9692756072322943,0.9539331727599247,0.9590003610289783,0.954954954954955,0.86745566493382,0.86745566493382,1,0.9592941652424475,0.921138598160482,0.9357512953367876,0.9347666299154723,0.9294479107581773,0.9594986233879148,0.9605461883824143,0.972412495295446,0.9614762590655245,0.9182151597529642,0.9621915542040836,0.973140846120985,0.770078098510686,0.8786166422989921,0.829623967657755,0.732884223719254,0.629106742314289,0.629106742314289,1,0.9013116876176451,0.868829199557287,0.755031791273843,0.755031791273843,1,0.7799576260517049,0.704266873545384,0.783354783354783,0.9062920827576558,0.702626162357853,0.8679812459340019,0.619981455725545,0.770754625316499,0.856284143185739,0.766846796101694,0.9338457306076425,0.9013459860917488,0.585750975292588,0.9610267334924726,0.614581404167879,0.580392557063646,0.533203455869897,0.533203455869897,1,0.9537768044903118,0.9709094867159475,0.9870043899379835,0.9870043899379835,1,0.451107118691523,0.601498632553382,0.694039719867984,0.884370085327087,0.9825993882877738,0.9898638076708527
4,1990,1990-01-01,0.755518566736744,0.78871526467036,0.770365595699519,0.668061255903002,0.6705298992944699,0.659272261519015,0.794099262101624,0.535930652365186,0.759356127321568,0.704475774540552,0.689476347350847,0.772817285693467,0.782132602571208,0.805237673042954,0.7362286379597409,0.6200843948765651,0.793596773328106,0.81479856754389,0.9028372908250248,0.9108116846769695,0.9182359777773048,0.868695239608292,0.880949458440792,0.847310960269616,0.9219110513852109,0.783671495265199,0.88906242787549,0.88696185065486,0.869204372462274,0.9101032615887605,0.9157126099271757,0.927694930513653,0.8936599010046931,0.823273205953323,0.9157048786825728,0.9566915783447552,0.945759963808064,0.9502146261852755,0.9576097461840736,0.9146361775474269,0.9352602425782265,0.884470228392854,0.9559053277076935,0.885272098222477,0.9263201592631328,0.933489433635958,0.9194685544289685,0.950136556162616,0.9543026132004415,0.9626575989754687,0.9457292624010801,0.9022601540368762,0.9523559840929468,0.9760720478614364,0.715399361059059,0.792793554684304,0.777062182930788,0.731988087975623,0.607255971036265,0.6049189824814449,0.616107874984068,0.796346267465709,0.815374972874538,0.7480819031838091,0.759591383247948,0.710194046530529,0.738415364695131,0.5645049149830119,0.7212992614507641,0.851835820422063,0.513147126890485,0.780360031939041,0.536643066673803,0.716015587008176,0.8008141835384,0.654066364750016,0.877463423019793,0.835616413211224,0.506744237361061,0.9161436524744035,0.527838872984771,0.52462771177386,0.47041994073459104,0.468384884223202,0.47727075771974603,0.893343599911284,0.9269710867951235,0.9741844959002706,0.9738657434081648,0.9754266716675724,0.38183915850501404,0.5011739283164389,0.621922562379315,0.770650900892768,0.960597631842759,0.9759049885157907
5,2000,2000-01-01,0.7024389391890631,0.726205888260679,0.722581660741199,0.649393977113593,0.6497198316816339,0.648463295739633,0.744356412103354,0.474895885628867,0.736342102837067,0.642992571895445,0.628966432548996,0.7182045170861799,0.731561235297641,0.7484744533823939,0.680895384642635,0.5274302372701569,0.7410325195960761,0.8033024113996741,0.866009148676787,0.86231658429391,0.881575918517837,0.852092672986474,0.860701070325268,0.833269441939159,0.896436633387234,0.691825755788368,0.866728593156129,0.8480348387298899,0.831407152850312,0.876050433855483,0.876548674290959,0.892556598284264,0.85546405251927,0.751716375741171,0.886247453833736,0.941320788236273,0.9203784482451516,0.9223257611149247,0.9337370544432858,0.9017288266454221,0.9108787834963732,0.888649124853368,0.9358971821109003,0.8205219435908491,0.9111470558559192,0.9038583288005921,0.892535479541814,0.9247065747780918,0.9308633358366097,0.9376808564758266,0.9149017913523214,0.853691916627694,0.9292621808024307,0.9694508484398304,0.667622872787107,0.7384090382490189,0.708068429477395,0.691614807028585,0.606128308218011,0.603268255923586,0.614860061262536,0.73838253079617,0.762593734816077,0.710450639611454,0.718026821206585,0.6906863343230429,0.702368077789293,0.48414837642758,0.687158745833619,0.796523690903696,0.46550865325785096,0.7639203944849811,0.43981239608309697,0.665878611411912,0.793046813972876,0.568907007649308,0.833280690182321,0.819506550592204,0.467567311909328,0.872819631498646,0.476762606941882,0.47292224797819304,0.45787591923887505,0.44923117932218104,0.48057117233779,0.838559323344551,0.873261922317699,0.9510414005824764,0.9479861518137077,0.961080572958163,0.31874450366281304,0.45917678794916905,0.620815443475081,0.6837466852195679,0.923162747548914,0.9644211559030036
6,2001,2001-01-01,0.693292534909707,0.710575823661994,0.711518051769997,0.653212266972423,0.651250611059857,0.658633494666889,0.738992490038186,0.450752830031662,0.720647917623648,0.638524326591977,0.616072910292419,0.710226453094831,0.722050531162467,0.7402546064668221,0.671579860207567,0.517813670493841,0.722912527281967,0.809758393408857,0.863349905224361,0.85934995467837,0.878731649837206,0.8512019754448941,0.860899501869368,0.8296062025434701,0.896011711005644,0.682403397134032,0.864844558392775,0.850382957255549,0.836308546823756,0.870637216334213,0.871546344724409,0.8882430096417739,0.854013878189088,0.741369949991562,0.880332615967331,0.9519765817541378,0.9178108920182793,0.9203093374041982,0.9290069000547475,0.901808070202069,0.9084536631118589,0.891585767993045,0.9352955011045535,0.807304868369698,0.9093891939767634,0.9068746762719838,0.894757819074708,0.92560560264878,0.9255696680561466,0.9355327880428861,0.9066732701990338,0.843922812888521,0.9257401090706089,0.9758540204950852,0.646695056812321,0.744788433998967,0.674836947521213,0.6717938652315469,0.594576069045045,0.588923246462956,0.611002127263903,0.739164856659354,0.7642531692840779,0.733715900118102,0.739546611193143,0.718646954275558,0.69059355630512,0.444731695415683,0.668629036467099,0.797701373385045,0.459246682494985,0.758447815863503,0.42874349183903304,0.641108113000034,0.780958407193767,0.565833101426866,0.829877474864918,0.85606222559302,0.46709256500529095,0.853856936522129,0.47156880098907705,0.468713144003882,0.46334813492473303,0.452414346750445,0.491093788717069,0.812452530179999,0.853479696031165,0.9461192831394256,0.9405902614554181,0.9636742649169827,0.31985044881690405,0.44348127914913305,0.6361110888477459,0.651419534992687,0.9072976044987223,0.9592259265249556
7,2002,2002-01-01,0.689260908925048,0.705917773451894,0.703295587600564,0.655294700427814,0.649793497496048,0.670093536443802,0.7324582267437589,0.455176741682184,0.7229843598793619,0.639501011594639,0.611116478557511,0.701255548042397,0.716448738826581,0.759480488601335,0.665218736127447,0.510827976065312,0.7207123410048291,0.805494785876113,0.860348092582904,0.85648106173634,0.875224592322909,0.848860867052343,0.8548241371462499,0.835727948160774,0.8953818579923369,0.6730666934040079,0.8564664905609061,0.851456150309693,0.820389814692031,0.875684878679767,0.8693564782797221,0.893732637255036,0.844832699535461,0.738012061021583,0.879405118765236,0.945325627197327,0.9150469545558598,0.9179145557153101,0.9275940081006697,0.896994704377851,0.9069334660067744,0.8818554522231,0.9333619257675864,0.803698361017235,0.901190570166783,0.888248260078414,0.891667347042124,0.9232560341033498,0.9233317977468859,0.9345443064813425,0.906595654442205,0.844986684128046,0.921072908077568,0.9731216531236334,0.648797609456992,0.730865558826125,0.679300794767935,0.6654209232325701,0.604746738864928,0.5955183021253889,0.631074994950082,0.7254913393410509,0.750088042525983,0.7193977097101649,0.721125818966705,0.7150733046272331,0.688388162751443,0.45761983841696297,0.680201848209639,0.78210996389479,0.452261008166959,0.754734315497701,0.41665796484293405,0.641337284830473,0.7857240734130579,0.555271715841622,0.818160708112672,0.835867209305952,0.46516118745533497,0.846859878613874,0.463051114189179,0.466172241697802,0.46578262959722705,0.453471770349409,0.49705414020389904,0.808851620620419,0.836528389448184,0.9434657810402644,0.9367483170596569,0.9632429792429792,0.308105991975855,0.45121181851637704,0.625521951289157,0.644209220879576,0.898673348509749,0.9583960342447424
8,2003,2003-01-01,0.682906624676364,0.6947108750440141,0.705622043964979,0.646728269783762,0.642884021192994,0.656460467063954,0.728736916402123,0.44297482939892197,0.70901816141566,0.603358145662101,0.601588779934911,0.6965222198733401,0.715228156171537,0.737062147063538,0.660949387521396,0.49702518648054095,0.712784093703583,0.809607108166594,0.858410749491031,0.849173806137038,0.874068237525332,0.853811670880547,0.861925636749702,0.8362319359383961,0.892708281345359,0.663712727077213,0.864285289280009,0.848562259295959,0.823533401386101,0.870534596094665,0.865219447688972,0.895335258382003,0.846863863714571,0.729645256312667,0.877376973142209,0.9492953569748666,0.910497177647003,0.9118477471996834,0.9208249911869629,0.897095825092678,0.9026075354908726,0.888130570143372,0.929915037099882,0.778489513589993,0.9087125691742424,0.899135419943524,0.879488468498865,0.9150801910313512,0.919526563156581,0.934853462792034,0.9058026655802514,0.831283106006791,0.9194831676997045,0.9718126807755423,0.640189837349909,0.727163780593902,0.654612819823851,0.674065343079788,0.595122791949548,0.5890340575745849,0.611184260025581,0.725041303094462,0.74352400868182,0.713669361765075,0.7146163515109429,0.711394045281019,0.683152519237724,0.44891696926221303,0.648653404092289,0.7807173704792489,0.435816127730031,0.752766438591773,0.409872775333622,0.62464411638118,0.787116985241601,0.536958741869838,0.822261680469523,0.84532040566858,0.45410117237360503,0.844419391601494,0.45186727478228095,0.461027650420184,0.45138035000061005,0.44178159403072903,0.47445713800274103,0.801071531489972,0.841432450527717,0.9372932966066853,0.9312390680829878,0.9538815796422854,0.30283967484290897,0.434353091469163,0.624572685410556,0.6293410552939309,0.896733718620019,0.9638281864427584
9,2004,2004-01-01,0.6755179147639669,0.678513319710776,0.698484550958899,0.650088626194929,0.645382535778121,0.66173609513814,0.722820472233126,0.423084367040636,0.701864936366993,0.601103920607832,0.5932986026591129,0.68880604961746,0.70158563481131,0.748460886002685,0.6561116006018171,0.484077454036582,0.703295798746792,0.811988862965025,0.856377380889935,0.845591973570738,0.870735132214361,0.8552914394834981,0.863985164619179,0.836483536782779,0.892170098779335,0.668239733791441,0.849844789297081,0.840152861301706,0.821456894336297,0.870061168427439,0.865141127353251,0.885905667935686,0.843027491212816,0.722446012284616,0.878823770108482,0.9511471049299725,0.9061643580297115,0.9047420497632321,0.9180367928162201,0.895088040833812,0.9027582850431911,0.882627543545715,0.9266645511885441,0.780154529798024,0.898378696278428,0.893442608030871,0.871585761123308,0.9125120161228752,0.9163402690170139,0.9275126728564242,0.9007094007527612,0.8216998415671,0.915881932935973,0.9727887943079164,0.635848778595802,0.7160027759452989,0.653429770949252,0.659934444095048,0.598939885733769,0.589610237876103,0.623508137432188,0.6967197087542429,0.7443080431581139,0.715377231466986,0.719492710411055,0.705945281075999,0.678521294456658,0.430226801571831,0.655042759158118,0.7720158618845,0.41481697335936996,0.738192058475241,0.39710880680968696,0.6155422633467089,0.793180494210177,0.523013099982002,0.810124170938582,0.841850068298351,0.445507657238822,0.837072522727925,0.43241615047036697,0.447920826287887,0.45120847719334,0.43475231999865405,0.48867772588178404,0.781314673382834,0.839637259103043,0.93841691361629,0.9331015082557653,0.9533464185751757,0.277556724068978,0.428598304290812,0.625821436952848,0.618988085309065,0.890091432359735,0.9617583524085405
10,2005,2005-01-01,0.664308224535267,0.6653708362242889,0.6849358079187551,0.643321436210179,0.6375046577457311,0.65778228795137,0.710127925828525,0.41813830126404705,0.693295382270892,0.59387618072152,0.580748101502488,0.682755517920447,0.69008984754505,0.706142929226991,0.6489039035489861,0.47004313458828395,0.693921574243842,0.8020073156498679,0.850983488320699,0.8390316026406031,0.864282742867021,0.852473743651067,0.8604148817405299,0.836439265990641,0.88493456899684,0.660943536005475,0.853133682769909,0.827975301151628,0.812844382623388,0.8654846806195899,0.861937384874755,0.874718628352856,0.837992824889165,0.71651899125567,0.870028330130713,0.9510868958596786,0.9022840038774306,0.9016916948394409,0.9150350869388443,0.8887553886608099,0.896372552689702,0.876123637356907,0.9246127987943867,0.764918739382098,0.89770253159441,0.896326458287754,0.875963507763305,0.9072178002783339,0.9093511428093138,0.923687510925773,0.8959787201030109,0.812961871987144,0.9121734741656475,0.9718460723814558,0.620113630945448,0.7086148650392601,0.632250836039954,0.646314298213021,0.5862455210960931,0.5763997424336,0.612101769551345,0.688174701316856,0.730533614596993,0.717473808844206,0.719785872510567,0.712111036489814,0.6626622263942901,0.420404512833606,0.6331510561757561,0.763170754485452,0.41565092917091895,0.736162314588938,0.37901333867272,0.6015500037977539,0.778289575501343,0.5093580109910221,0.806316405526205,0.8382676697704781,0.43527620929398303,0.83157599881532,0.42108850222372995,0.437570115132643,0.442263007500449,0.426399177684046,0.47910354893156804,0.777131895370779,0.828647832400394,0.9388788263882498,0.9330640449288317,0.954918237882869,0.28406814430180904,0.41841744577818296,0.608326800850181,0.600115242280256,0.887690549779641,0.9616478235943212
11,2006,2006-01-01,0.6377871601089651,0.635992963642928,0.6564283812331411,0.621752098960878,0.612339707119125,0.6447174715207911,0.684428245825558,0.384627089815329,0.670066855923804,0.573428215869455,0.550507298309513,0.654203452114115,0.6664587037126359,0.685058055593706,0.616006921146226,0.45456095951828,0.67231445258166,0.752083176101883,0.834508804680022,0.815745968888799,0.85288058610119,0.839518595551377,0.844799117239625,0.82883182085971,0.874230867832977,0.6264701665970069,0.839100060543891,0.8187252018816911,0.792708410038976,0.847654935073286,0.84637222286295,0.860477896435548,0.820933461927701,0.6996288333107841,0.856351317337669,0.9257219195638096,0.893514627523099,0.88595891843805,0.9121642169878191,0.883830824627683,0.889228081229459,0.874432502186075,0.9178882609207583,0.7484435786118919,0.883666553741058,0.884746100685146,0.8619670621779361,0.9013856188969084,0.9005371301296915,0.9112280123795802,0.889915151275349,0.804744782962716,0.9077950304371192,0.9539639722476878,0.5979536485347541,0.678652926284105,0.606283992150739,0.619846518982091,0.571177882160868,0.5577972951753141,0.605949557026905,0.657020490194254,0.699744760809264,0.6904935054441139,0.68971679331611,0.692237465096516,0.6397991745816081,0.39657590704715695,0.613207412631655,0.735664534803922,0.37202791481058095,0.713293343767679,0.371911164716329,0.587106757099891,0.740159207776255,0.49328669520507396,0.779378877008304,0.769450990046777,0.410371986685348,0.819667705597958,0.395602828094752,0.402663063945888,0.424714598074622,0.40762966201711004,0.46466744502010204,0.765176575675136,0.815439154720113,0.9291349162405764,0.9217061692257857,0.9485317506270091,0.27222256017580304,0.403393332208008,0.544240197462452,0.591997412257104,0.874690277139899,0.9509568726896656
