year,HS,SC,BAp,BAo,GD
1960,0.24654417099999998,0.297956273,0.525230584,0.525230584,0.564201187
1970,0.232854047,0.26666159700000003,0.43505344300000004,0.43505344300000004,0.564201187
1980,0.276387991,0.337166761,0.48001257399999997,0.48001257399999997,0.564201187
1990,0.44973200399999996,0.42162575899999993,0.5628328610000001,0.555687495,0.564201187
2000,0.596019664,0.538512398,0.633698549,0.6385625210000001,0.617899034
2001,0.6051985280000001,0.5519253909999999,0.631717358,0.6381419300000001,0.6121760039999999
2002,0.615111277,0.564744126,0.634455513,0.6423644340000001,0.6105606149999999
2003,0.634751965,0.577073404,0.6414149010000001,0.655787325,0.605268149
2004,0.6610534290000001,0.584038775,0.644641211,0.658221183,0.61016148
2005,0.6888850179999999,0.6096527679999999,0.651716019,0.667412407,0.611831787
2006,0.7901018980000001,0.662755208,0.6963999359999999,0.7153038110000001,0.6503339
2007,0.810319565,0.692003348,0.7021598889999999,0.724545696,0.648371542
2008,0.848948912,0.718053041,0.717038791,0.738763403,0.6649305449999999
2009,0.88883727,0.751966677,0.7354278559999999,0.7610523600000001,0.673895418
2010,0.910622941,0.769855548,0.742431909,0.769238549,0.681441464
2011,0.944076302,0.7917997449999999,0.753490983,0.785120212,0.682371525
2012,0.962594648,0.811650682,0.763031239,0.796426642,0.689631832
